Id,Category
0,3
1,4
2,2
3,2
4,4
5,5
6,2
7,2
8,1
9,3
10,4
11,5
12,6
13,4
14,5
15,5
16,2
17,5
18,6
19,2
20,3
21,4
22,2
23,1
24,5
25,5
26,4
27,5
28,1
29,2
30,2
31,5
32,4
33,6
34,2
35,6
36,3
37,4
38,5
39,3
40,6
41,6
42,2
43,6
44,4
45,2
46,4
47,5
48,2
49,3
50,3
51,4
52,1
53,6
54,3
55,5
56,4
57,6
58,5
59,2
60,2
61,3
62,6
63,1
64,6
65,1
66,2
67,6
68,4
69,3
70,3
71,1
72,2
73,2
74,2
75,3
76,6
77,5
78,4
79,2
80,6
81,4
82,5
83,4
84,5
85,5
86,4
87,3
88,3
89,3
90,4
91,3
92,3
93,2
94,1
95,4
96,3
97,4
98,4
99,6
100,3
101,4
102,6
103,1
104,1
105,6
106,1
107,1
108,1
109,4
110,4
111,2
112,2
113,6
114,6
115,4
116,1
117,2
118,3
119,3
120,1
121,5
122,5
123,6
124,4
125,5
126,3
127,5
128,5
129,3
130,1
131,3
132,6
133,5
134,5
135,1
136,3
137,3
138,5
139,4
140,5
141,4
142,2
143,1
144,2
145,1
146,5
147,6
148,4
149,5
150,4
151,3
152,5
153,1
154,2
155,2
156,4
157,2
158,3
159,3
160,4
161,4
162,3
163,1
164,4
165,2
166,5
167,2
168,4
169,3
170,3
171,2
172,6
173,4
174,6
175,5
176,6
177,4
178,6
179,5
180,6
181,4
182,2
183,6
184,2
185,2
186,6
187,3
188,5
189,6
190,6
191,6
192,4
193,6
194,3
195,4
196,3
197,5
198,5
199,3
200,4
201,5
202,3
203,5
204,2
205,6
206,2
207,5
208,2
209,5
210,2
211,4
212,1
213,1
214,2
215,2
216,6
217,6
218,2
219,1
220,4
221,2
222,6
223,3
224,3
225,4
226,6
227,5
228,2
229,5
230,2
231,5
232,6
233,5
234,4
235,1
236,2
237,6
238,5
239,4
240,6
241,4
242,3
243,1
244,2
245,1
246,2
247,5
248,4
249,5
250,4
251,1
252,6
253,1
254,1
255,5
256,6
257,5
258,2
259,5
260,5
261,3
262,1
263,3
264,5
265,2
266,5
267,1
268,4
269,5
270,6
271,2
272,5
273,3
274,3
275,2
276,6
277,1
278,3
279,3
280,3
281,2
282,5
283,3
284,5
285,4
286,2
287,2
288,1
289,2
290,1
291,6
292,3
293,3
294,3
295,2
296,6
297,2
298,1
299,6
300,6
301,1
302,5
303,1
304,6
305,1
306,4
307,4
308,6
309,1
310,2
311,4
312,6
313,4
314,1
315,6
316,6
317,6
318,1
319,1
320,2
321,3
322,3
323,2
324,1
325,4
326,4
327,2
328,1
329,1
330,1
331,5
332,2
333,1
334,1
335,6
336,2
337,2
338,6
339,5
340,2
341,6
342,4
343,1
344,4
345,1
346,5
347,4
348,1
349,4
350,2
351,1
352,1
353,2
354,6
355,6
356,5
357,3
358,2
359,4
360,1
361,1
362,6
363,6
364,4
365,2
366,2
367,5
368,6
369,6
370,2
371,3
372,5
373,5
374,4
375,2
376,3
377,5
378,3
379,6
380,1
381,5
382,5
383,4
384,1
385,5
386,2
387,4
388,5
389,5
390,4
391,4
392,3
393,6
394,6
395,5
396,1
397,3
398,1
399,4
400,6
401,4
402,3
403,2
404,1
405,5
406,2
407,6
408,6
409,6
410,2
411,1
412,2
413,6
414,4
415,3
416,3
417,6
418,2
419,5
420,6
421,5
422,1
423,6
424,3
425,3
426,2
427,6
428,6
429,3
430,5
431,5
432,1
433,5
434,5
435,6
436,1
437,5
438,3
439,6
440,4
441,4
442,1
443,3
444,3
445,2
446,5
447,5
448,6
449,2
450,3
451,1
452,6
453,3
454,5
455,4
456,3
457,6
458,3
459,6
460,5
461,3
462,6
463,2
464,2
465,1
466,5
467,4
468,3
469,6
470,4
471,1
472,1
473,6
474,6
475,6
476,4
477,6
478,2
479,2
480,4
481,2
482,2
483,5
484,3
485,1
486,6
487,5
488,4
489,3
490,4
491,5
492,2
493,4
494,5
495,4
496,5
497,6
498,4
499,4
500,6
501,5
502,1
503,6
504,2
505,5
506,4
507,2
508,2
509,6
510,1
511,5
512,5
513,5
514,3
515,4
516,1
517,5
518,2
519,2
520,5
521,5
522,2
523,4
524,6
525,5
526,6
527,2
528,2
529,1
530,4
531,1
532,3
533,2
534,3
535,1
536,6
537,3
538,1
539,2
540,6
541,3
542,5
543,1
544,3
545,3
546,5
547,6
548,3
549,5
550,1
551,1
552,4
553,1
554,3
555,3
556,1
557,2
558,2
559,6
560,4
561,2
562,2
563,5
564,4
565,4
566,1
567,3
568,6
569,1
570,5
571,5
572,5
573,5
574,6
575,1
576,4
577,2
578,2
579,4
580,3
581,6
582,2
583,4
584,3
585,1
586,3
587,6
588,1
589,6
590,1
591,2
592,1
593,5
594,5
595,1
596,2
597,3
598,6
599,5
600,6
601,1
602,5
603,2
604,5
605,3
606,3
607,4
608,2
609,2
610,1
611,2
612,6
613,3
614,5
615,5
616,4
617,2
618,4
619,5
620,6
621,3
622,3
623,4
624,1
625,6
626,3
627,3
628,6
629,2
630,6
631,5
632,4
633,5
634,2
635,4
636,5
637,6
638,2
639,2
640,3
641,5
642,3
643,4
644,6
645,1
646,5
647,4
648,3
649,2
650,1
651,6
652,1
653,2
654,3
655,5
656,5
657,1
658,5
659,2
660,1
661,4
662,2
663,5
664,4
665,5
666,3
667,3
668,5
669,2
670,2
671,6
